1,0,1,2,3,4
1,0,8,16,24,32
2,1,8,9,10,17
3,1,2,9,16,17
3,0,8,9,10,18
3,0,1,9,17,18
3,2,8,9,10,16
4,0,8,16,17,18
4,0,1,2,8,16
4,2,10,18,16,17
4,0,1,2,10,18
5,0,1,2,9,17
5,2,8,9,10,18
5,1,9,16,17,18
5,0,8,9,10,16
6,0,8,9,17,18
6,2,9,10,16,17
6,0,1,9,10,18
6,1,2,8,9,16
7,0,1,2,8,10
7,0,1,9,16,17
7,0,2,8,9,10
7,0,1,8,16,17
8,0,8,9,10,11
8,1,9,17,24,25
8,0,1,2,3,11
8,0,1,8,16,24
8,0,1,9,17,25
8,0,1,2,3,8
8,0,8,16,24,25
8,3,8,9,10,11
9,2,3,8,9,10
9,0,8,9,17,25
9,1,2,3,8,9
9,0,8,16,17,25
9,0,1,9,10,11
9,1,9,16,17,24
9,0,1,2,10,11
9,1,8,9,16,24
10,2,8,9,10,11
10,1,8,9,17,25
10,0,1,2,3,9
10,0,8,16,17,24
10,0,1,2,3,10
10,0,8,9,16,24
10,1,8,9,10,11
10,1,9,16,17,25
11,1,8,9,10,18
11,1,2,8,9,17
11,0,8,9,10,17
11,1,9,10,16,17
11,2,8,9,10,17
11,0,1,9,10,17
11,1,8,9,10,16
11,1,8,9,17,18
12,0,1,8,9,17
12,0,1,2,8,9
12,0,8,9,16,17
12,1,2,8,9,10
12,0,1,8,9,10
12,1,8,9,16,17
12,0,1,2,9,10
12,0,1,8,9,16
